marca,modelo,quilometragem,fipe,valor_venda,ano_fabricacao
Chevrolet,ONIX,69974,44998,40098,2017
Volkswagen,GOL,88209,24338,,2011
Fiat,PALIO,97775,34117,,2012
Renault,FLUENCE,64138,49818,,2013
Chery,TIGGO,94361,36224,,2014
Volkswagen,GOL,108714,34935,,2014
Honda,CITY,63905,62812,,2015
Volkswagen,JETTA,77205,86618,,2016
Nissan,VERSA,72468,44020,,2016
Ford,KA,99759,43812,,2017
Volkswagen,GOL,61763,50579,,2018
Ford,KA,52244,50895,,2019
Volkswagen,SPACEFOX,95627,34799,,2012
Peugeot,208,118628,35913,,2013
Chevrolet,ONIX,101039,41674,,2015
Renault,KWID,38091,40156,,2017
Ford,NEW FIESTA HATCH,80221,45898,,2017
